Id,Designator,Package,Quantity,RS,"Price (Piece, ex btw)",
1,J1,PinHeader_1x04_P2.54mm_Horizontal,1,468-080,€ 0.24,€ 0.24
2,"Power3,Power1Power2,SW2",PinSocket_1x02_P2.54mm_Vertical,2,251-8171,€ 0.65,€ 1.30
3,"Power3,Power1",PinHeader_1x02_P2.54mm_Vertical,2,251-8086,€ 0.11,€ 0.22
4,"Servo2,Servo1",PinHeader_1x03_P2.54mm_Vertical,2,251-8092,€ 0.15,€ 0.29
5,"mc2,mc1",PinSocket_1x06_P2.54mm_Vertical,2,765-5672,€ 1.02,€ 2.04
6,"J8,J11",PinSocket_1x20_P2.54mm_Vertical,2,681-6820,€ 1.62,€ 3.24
7,SW1,SW_Slide_1P2T_CK_OS102011MS2Q,1,787-4855,€ 0.36,€ 0.36
8,Power_out1,USB_A_Molex_67643_Horizontal,1,122-5097,€ 1.62,€ 1.62
9,Power_in1,USB_Micro-B_Wuerth_614105150721_Vertical,1,800-6867,€ 1.43,€ 1.43
10,"SRF1, SRF2, IR1, IR2, I2C1, I2C2",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,6,172-4913,€ 0.43,€ 2.58
11,"A2, A3, Keys1, ENCA, ENCB",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,5,820-1557,€ 0.43,€ 2.15
,,,,,,
,,,,,,total
,,,,,,€ 15.47
